id,osmid,name,lanes
6038,47174953,Cecilia Avenue,
6039,47175006,Ulloa Street,
6040,47175080,Malta Drive,
6041,47175271,Stonecrest Drive,
6042,47175272,Broadmoor Drive,
6043,47183164,Marston Avenue,
6044,47183168,West Road,
6045,47183265,Lobos Street,
6046,47183266,Caine Avenue,
6047,47183430,Saint Charles Avenue,
6048,47183686,Morse Street,
6049,47183715,Guttenberg Street,
6050,47183748,Pope Street,
6051,47183772,Prague Street,
6052,47183773,Curtis Street,
6053,47183780,Winding Way,
6054,47183802,Rolph Street,
6055,47183967,Peru Avenue,
6056,47183968,Peru Avenue,
6057,47184052,Cotter Street,
6058,47184053,Theresa Street,
6059,47184058,Still Street,
